Name,DOB
Aarav Sharma,01-01-1998
Vivaan Verma,02-01-1999
Aditya Singh,03-01-2000
Arjun Gupta,04-01-1997
Kabir Patel,05-01-2001
Reyansh Mehta,06-01-1996
Ayaan Jain,07-01-2002
Krishna Yadav,08-01-1995
Ishaan Mishra,09-01-1999
Vihaan Tiwari,10-01-1998
Rudra Joshi,11-01-2000
Atharv Soni,12-01-1997
Dhruv Agrawal,13-01-2001
Shivansh Dubey,14-01-1996
Ansh Malhotra,15-01-2002
Rohan Saxena,16-01-1995
Rahul Choudhary,17-01-1999
Amit Thakur,18-01-1998
Nikhil Pandey,19-01-2000
Kunal Srivastava,20-01-1997
Varun Tripathi,21-01-2001
Yash Mishra,22-01-1996
Mohit Shukla,23-01-2002
Siddharth Rai,24-01-1995
Harsh Vyas,25-01-1999
Manish Bansal,26-01-1998
Akash Kapoor,27-01-2000
Rishabh Saxena,28-01-1997
Ayush Agrawal,29-01-2001
Tushar Jain,30-01-1996
Saurabh Verma,31-01-2002
Neeraj Sharma,01-02-1995
Pranav Singh,02-02-1999
Dev Gupta,03-02-1998
Kartik Patel,04-02-2000
Lakshya Mehta,05-02-1997
Manav Jain,06-02-2001
Parth Yadav,07-02-1996
Samar Mishra,08-02-2002
Abhinav Tiwari,09-02-1995
Varun Joshi,10-02-1999
Ritesh Soni,11-02-1998
Gaurav Agrawal,12-02-2000
Deepak Dubey,13-02-1997
Piyush Malhotra,14-02-2001
Rajat Saxena,15-02-1996
Naveen Choudhary,16-02-2002
Tarun Thakur,17-02-1995
Vivek Pandey,18-02-1999
Karan Srivastava,19-02-1998
Sameer Tripathi,20-02-2000
Ashish Shukla,21-02-1997
Nitin Rai,22-02-2001
Ravi Vyas,23-02-1996
Sumit Bansal,24-02-2002
Ankit Kapoor,25-02-1995
Vikas Saxena,26-02-1999
Rohit Agrawal,27-02-1998
Aman Jain,28-02-2000
Neha Sharma,01-03-1997
Priya Verma,02-03-2001
Anjali Singh,03-03-1996
Pooja Gupta,04-03-2002
Sneha Patel,05-03-1995
Kavya Mehta,06-03-1999
Isha Jain,07-03-1998
